Purpose,Channel,Dimmer,Address,Position,Unit#,Instrument Type,Load,Accessory,Color,Gobo,Gobo Size,Circuit Name,Circuit#,Cable,Data Cable,Mark,System,User 1,User 2,User 3,User 4,User 5,User 6,User 7,User 8,User 9,User 10,User 11,User 12,User 13,User 14,User 15,User 16,User 17,User 18,User 19,User 20,User 21,User 22,User 23,User 24,Scenery,Focus L/R,Focus U/D,Focus Note,US,DS,SR,SL,Top,Bot,Focus Status,Axis,Beam,VW Layer,VW Label Legend,VW Class,VW X Coordinate,VW Y Coordinate,VW Z Coordinate,VW Symbol Rotation,VW Focus Point,Order of Light within Position,Lightwright ID,Vectorworks UID,Symbol,On Light Plot,Universe,DMX#,Dimmer Phase,Position Order,Work Note Status,Device Type,Color Frame,"When, What, and Who Changed",Position & Unit#,Instrument Type & Accessory,Instrument Type & Load,Instrument Type & Accessory & Load,Circuit Name & Circuit#,Color & Gobo,Color Flags,DMX Qty,Instrument Type Weight
,(56),116,4/218,LX3 (Fly14),3,Chauvet F915FC,260w,Barndoors,,,,,,,FP204-1,,B,,-> 91 -> 55,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,3,183C06:32B6:37:D:Jonat,,,Adding,4,218,,3,,Light,,10/10/2023 at 19:36 - Usr2  by me,LX3 (Fly14) #3,Chauvet F915FC+Barndoors,Chauvet F915FC 260w,Chauvet F915FC+Barndoors 260w,,,,18,8.6 kg
,(57),116,4/236,LX3 (Fly14),4,Chauvet F915FC,260w,Barndoors,,,,,,,FP204-1,,B,,-> 91 -> 55 -> 56,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,4,30D67E:32BF:37:11:Jonat,,,Adding,4,236,,3,,Light,,10/10/2023 at 19:36 - Usr2  by me,LX3 (Fly14) #4,Chauvet F915FC+Barndoors,Chauvet F915FC 260w,Chauvet F915FC+Barndoors 260w,,,,18,8.6 kg
,(92),118,4/285,LX3 (Fly14),5,GLP X4L,900w,,,,,,,,FP204-1,,B,,-> 91 -> 55 -> 56 -> 57,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,5,4D909:32A4:36:36:Jonat,,,Adding,4,285,,3,,Moving Light,,10/10/2023 at 19:36 - Usr2  by me,LX3 (Fly14) #5,GLP X4L,GLP X4L 900w,GLP X4L 900w,,,,31,17 kg
,(101),119,8/1,LX4 (Fly16),1,Chauvet B-2805FC,620w,,,,,,,,FP205-1,,B,,,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,1,77761C:326E:32:A:Jonat,,,Adding,8,1,,4,,Light,,10/10/2023 at 19:17 - DataCbl  by me,LX4 (Fly16) #1,Chauvet B-2805FC,Chauvet B-2805FC 620w,Chauvet B-2805FC 620w,,,,135,20.5 kg
,(102),119,8/136,LX4 (Fly16),2,Chauvet B-2805FC,620w,,,,,,,,FP205-1,,B,,-> 101,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,2,3A8BE:3277:32:E:Jonat,,,Adding,8,136,,4,,Light,,10/10/2023 at 19:33 - Usr2  by me,LX4 (Fly16) #2,Chauvet B-2805FC,Chauvet B-2805FC 620w,Chauvet B-2805FC 620w,,,,135,20.5 kg
,(103),119,8/271,LX4 (Fly16),3,Chauvet B-2805FC,620w,,,,,,,,FP205-1,,B,,-> 101 -> 102,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,3,685560:3280:32:11:Jonat,,,Adding,8,271,,4,,Light,,10/10/2023 at 19:33 - Usr2  by me,LX4 (Fly16) #3,Chauvet B-2805FC,Chauvet B-2805FC 620w,Chauvet B-2805FC 620w,,,,135,20.5 kg
,(104),120,9/1,LX4 (Fly16),4,Chauvet B-2805FC,620w,,,,,,,,FP205-2,,B,,,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,4,60ACD3:3289:32:17:Jonat,,,Adding,9,1,,4,,Light,,10/10/2023 at 19:17 - DataCbl  by me,LX4 (Fly16) #4,Chauvet B-2805FC,Chauvet B-2805FC 620w,Chauvet B-2805FC 620w,,,,135,20.5 kg
,(105),120,9/136,LX4 (Fly16),5,Chauvet B-2805FC,620w,,,,,,,,FP205-2,,B,,-> 104,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,5,647B37:3292:32:1B:Jonat,,,Adding,9,136,,4,,Light,,10/10/2023 at 19:36 - Usr2  by me,LX4 (Fly16) #5,Chauvet B-2805FC,Chauvet B-2805FC 620w,Chauvet B-2805FC 620w,,,,135,20.5 kg
,(171),117,7/271,Dead Hung,1,Chauvet F915FC,260w,Barndoors,,,,,,,FP205-2,,B,,-> 104 -> 105,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,1,3E4E76:3265:2F:1B:Jonat,,,Adding,7,271,,9,,Light,,10/10/2023 at 19:37 - Usr2  by me,Dead Hung #1,Chauvet F915FC+Barndoors,Chauvet F915FC 260w,Chauvet F915FC+Barndoors 260w,,,,18,8.6 kg
,(135),145,1/145,Adv 1,1,ETC Source4 26deg,750w,26 deg Lens,R371,,,,,,,,B,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,1,4318A7:3399:1:36:Jonat,,,Adding,1,145,,10,,Light,,10/10/2023 at 14:24 - Usr3  by me,Adv 1 #1,ETC Source4 26deg+26 deg Lens,ETC Source4 26deg 750w,ETC Source4 26deg+26 deg Lens 750w,,R371,,1,8.5 kg
,(136),146,1/146,Adv 1,2,ETC Source4 26deg,750w,26 deg Lens,R371,,,,,,,,B,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,2,5A622D:33A2:1:3B:Jonat,,,Adding,1,146,,10,,Light,,10/10/2023 at 14:24 - Usr3  by me,Adv 1 #2,ETC Source4 26deg+26 deg Lens,ETC Source4 26deg 750w,ETC Source4 26deg+26 deg Lens 750w,,R371,,1,8.5 kg
,(137),147,1/147,Adv 1,3,ETC Source4 26deg,750w,26 deg Lens,R371,,,,,,,,B,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,3,66A7B6:33AB:2:3:Jonat,,,Adding,1,147,,10,,Light,,10/10/2023 at 14:24 - Usr3  by me,Adv 1 #3,ETC Source4 26deg+26 deg Lens,ETC Source4 26deg 750w,ETC Source4 26deg+26 deg Lens 750w,,R371,,1,8.5 kg
,(138),148,1/148,Adv 1,4,ETC Source4 26deg,750w,26 deg Lens,R371,,,,,,,,B,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,4,740505:33B4:2:8:Jonat,,,Adding,1,148,,10,,Light,,10/10/2023 at 14:24 - Usr3  by me,Adv 1 #4,ETC Source4 26deg+26 deg Lens,ETC Source4 26deg 750w,ETC Source4 26deg+26 deg Lens 750w,,R371,,1,8.5 kg
,(71),163,2/315,Adv 3,1,GLP S350,550w,,,,,,,,FP210-1,,B,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,1,3573A9:33E1:2:3A:Jonat,,,Adding,2,315,,12,,Moving Light,,10/10/2023 at 19:18 - DataCbl  by me,Adv 3 #1,GLP S350,GLP S350 550w,GLP S350 550w,,,,35,25.5 kg
,(131),164,1/164,Adv 3,2,ETC Source4 26deg,750w,26 deg Lens,R371,,,,,,,,B,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,2,8FF97B:33BD:2:1A:Jonat,,,Adding,1,164,,12,,Light,,10/10/2023 at 14:25 - Usr3  by me,Adv 3 #2,ETC Source4 26deg+26 deg Lens,ETC Source4 26deg 750w,ETC Source4 26deg+26 deg Lens 750w,,R371,,1,8.5 kg
,(132),165,1/165,Adv 3,3,ETC Source4 26deg,750w,26 deg Lens,R371,,,,,,,,B,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,3,715B1B:33C6:2:1E:Jonat,,,Adding,1,165,,12,,Light,,10/10/2023 at 14:25 - Usr3  by me,Adv 3 #3,ETC Source4 26deg+26 deg Lens,ETC Source4 26deg 750w,ETC Source4 26deg+26 deg Lens 750w,,R371,,1,8.5 kg
